Exercise,Difficulty Level,"Target Muscle Group ",Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,"Primary Equipment ",# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,"Continuous or Alternating Arms ",Grip,Load Position (Ending),"Continuous or Alternating Legs ",Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,
Ring Tuck Front Lever Pull Up,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,
Ring Advanced Tuck Front Lever Pull Up,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,
Double Kettlebell Suitcase Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Walking,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Clubbell Order March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Clubbell,2,,0,March,Double Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Single Arm Clubbell Order March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Clubbell,1,,0,March,Single Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Ring Straddle Front Lever Pull Up,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,
Single Arm Ring Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,,Gymnastic Rings,1,,0,Prone,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,"Anti-Rotational ",,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics,
Ring L Sit Muscle Up,Expert,Back,Latissimus Dorsi,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,False Grip,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Vertical Push,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Calisthenics,
Ring Strict Muscle Up,Expert,Back,Latissimus Dorsi,Triceps Brachii,Biceps Brachii,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,False Grip,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Vertical Push,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Calisthenics,
Single Arm Kettlebell Suitcase Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Triceps Brachii,Biceps Femoris,Kettlebell,1,,0,Walking,Single Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Front Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Walking,Single Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Walking,Single Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Walking Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Walking,Single Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Landmine Split Squat Isometric Shoulder Press,Expert,Shoulders,Anterior Deltoids,,,Landmine,1,,0,Split Squat Isometric,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance,
Single Arm Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics,
Clubbell Inside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics,
Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics,
Single Arm Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics,
Alternating Double Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,2,,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics,
Double Clubbell Inside Circle to Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,2,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics,
Single Arm Kettlebell Bottoms Up Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding,
Kettlebell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Kettlebell,1,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding,
Barbell Snatch Balance,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,"Olympic Weightlifting ",
Parallette Straddle Press to Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Calisthenics,
Double Dumbbell Suitcase March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,2,,0,March,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Single Arm Dumbbell Suitcase March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,1,,0,March,Single Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Double Dumbbell Front Rack March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,2,,0,March,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Single Arm Dumbbell Front Rack March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,1,,0,March,Single Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Double Dumbbell Overhead March,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,2,,0,March,Double Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Single Arm Dumbbell Overhead March,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,1,,0,March,Single Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Barbell Front Rack March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Barbell,1,,0,March,Double Arm,Continuous,Pronated,Front Rack,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Barbell Back Rack March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Barbell,1,,0,March,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Barbell Back Rack Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Back Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Back Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Kettlebell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Kettlebell,1,,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding,
"Single Arm Ring Eccentric Chin Up ",Expert,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,1,,0,Hanging,Single Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Calisthenics,
Parallette Freestanding Handstand,Expert,Shoulders,Anterior Deltoids,,,Parallette Bars,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics,
Ring Gironda Sternum Chin Up,Expert,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,
Single Arm Kettlebell Front Rack Contralateral Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance,
Single Arm Kettlebell Front Rack Ipsilateral Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Balance,
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance,
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Balance,
Kettlebell Horn Grip Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Double Arm,Continuous,Horn Grip,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Single Arm Kettlebell Overhead Contralateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance,
Single Arm Kettlebell Overhead Ipsilateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Balance,
Single Arm Kettlebell Bottoms Up Overhead Contralateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance,
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Single Leg Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Balance,
Double Kettlebell L Sit,Advanced,Abdominals,Rectus Abdominis,,,Kettlebell,2,,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Double Kettlebell L Sit Lift Over,Advanced,Abdominals,Rectus Abdominis,,,Kettlebell,2,,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Frontal Plane,Sagittal Plane,,Midsection,Other,Compound,Bilateral,Calisthenics,
Single Arm Kettlebell Bottoms Up Windmill,Advanced,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds,
Single Arm Kettlebell Bottoms Up Bent Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Unsorted*,Push,Compound,Unilateral,Grinds,
Single Arm Kettlebell Bottoms Up Half Kneeling Bent Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,0,Half Kneeling,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Unsorted*,Push,Compound,Unilateral,Grinds,
Ring L Sit Archer Pull Up,Expert,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,,0,Hanging,Double Arm,Alternating,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Frontal Plane,Sagittal Plane,,Upper Body,Pull,Compound,Unilateral,Calisthenics,
Double Kettlebell Overhead March,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Kettlebell,2,,0,March,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Single Arm Kettlebell Overhead March,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Kettlebell,1,,0,March,Single Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,
Double Kettlebell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Suitcase Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Suitcase Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
